Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied
ORD00000000,PROD00000000,USER00000000,2023-08-05,2024-08-26,Clothing,411.59,3,Changed mind,Returned,387.0,58,Male,City54,Debit Card,Next-Day,45.27
ORD00000001,PROD00000001,USER00000001,2023-10-09,2023-11-09,Books,288.88,3,Wrong item,Returned,31.0,68,Female,City85,Credit Card,Express,47.79
ORD00000005,PROD00000005,USER00000005,2024-02-14,2024-09-22,Electronics,252.12,1,Defective,Returned,221.0,46,Female,City47,Debit Card,Next-Day,47.61
ORD00000006,PROD00000006,USER00000006,2023-05-29,2023-08-03,Clothing,382.89,2,Wrong item,Returned,66.0,25,Male,City50,Credit Card,Express,28.49
ORD00000007,PROD00000007,USER00000007,2023-02-09,2024-08-01,Electronics,306.39,3,Not as described,Returned,539.0,67,Female,City39,Credit Card,Express,38.91
ORD00000009,PROD00000009,USER00000009,2023-03-10,2024-01-21,Clothing,294.94,3,Not as described,Returned,317.0,44,Male,City82,Credit Card,Standard,45.21
ORD00000017,PROD00000017,USER00000017,2023-02-03,2023-06-03,Electronics,400.12,1,Defective,Returned,120.0,33,Male,City33,PayPal,Standard,18.25
ORD00000028,PROD00000028,USER00000028,2024-05-15,2024-09-05,Toys,106.6,5,Defective,Returned,113.0,53,Male,City69,Credit Card,Standard,18.42
ORD00000037,PROD00000037,USER00000037,2023-02-11,2024-05-10,Clothing,246.15,1,Wrong item,Returned,454.0,31,Female,City62,Gift Card,Standard,23.63
ORD00000043,PROD00000043,USER00000043,2024-05-23,2024-06-05,Clothing,105.7,3,Wrong item,Returned,13.0,44,Male,City41,Credit Card,Next-Day,42.07
ORD00000046,PROD00000046,USER00000046,2023-05-22,2024-03-09,Home,97.31,2,Changed mind,Returned,292.0,53,Female,City49,Debit Card,Next-Day,10.96
ORD00000050,PROD00000050,USER00000050,2023-06-14,2024-07-21,Books,23.6,1,Defective,Returned,403.0,37,Female,City12,Credit Card,Next-Day,6.53
ORD00000065,PROD00000065,USER00000065,2023-06-03,2023-09-22,Toys,280.61,2,Defective,Returned,111.0,32,Male,City92,Debit Card,Express,2.34
ORD00000068,PROD00000068,USER00000068,2023-11-13,2024-06-16,Electronics,394.08,3,Wrong item,Returned,216.0,62,Male,City28,Credit Card,Next-Day,12.27
ORD00000075,PROD00000075,USER00000075,2023-05-08,2024-01-19,Electronics,332.39,5,Not as described,Returned,256.0,36,Male,City53,Debit Card,Next-Day,24.31
ORD00000077,PROD00000077,USER00000077,2023-04-09,2024-01-21,Books,185.34,2,Not as described,Returned,287.0,31,Female,City34,PayPal,Standard,36.01
ORD00000078,PROD00000078,USER00000078,2023-05-07,2024-08-10,Toys,64.29,2,Not as described,Returned,461.0,39,Male,City57,Debit Card,Express,47.4
ORD00000082,PROD00000082,USER00000082,2023-03-17,2023-08-31,Electronics,496.22,5,Changed mind,Returned,167.0,67,Male,City36,Gift Card,Next-Day,32.87
ORD00000083,PROD00000083,USER00000083,2023-06-08,2024-10-23,Electronics,52.19,1,Not as described,Returned,503.0,21,Female,City100,Debit Card,Standard,35.14
ORD00000092,PROD00000092,USER00000092,2023-10-02,2024-02-27,Home,394.71,4,Changed mind,Returned,148.0,66,Female,City25,Gift Card,Next-Day,16.01
ORD00000093,PROD00000093,USER00000093,2023-07-29,2024-07-01,Home,230.9,2,Defective,Returned,338.0,69,Male,City10,Credit Card,Next-Day,26.62
ORD00000096,PROD00000096,USER00000096,2023-06-18,2023-11-08,Toys,496.31,4,Defective,Returned,143.0,53,Male,City88,Gift Card,Next-Day,10.15
ORD00000099,PROD00000099,USER00000099,2023-12-07,2024-12-30,Books,46.61,1,Wrong item,Returned,389.0,42,Male,City12,Credit Card,Next-Day,8.9
ORD00000101,PROD00000101,USER00000101,2024-05-01,2024-08-20,Books,169.93,5,Wrong item,Returned,111.0,40,Male,City40,Credit Card,Next-Day,27.73
